;2012;2013;2014;2015;2016
ARSON;469;364;82;451;521
ASSAULT;19898;17969;3691;17040;18709
BATTERY;59132;53999;11398;48904;50243
BURGLARY;22844;17887;3532;13183;14238
CONCEALED CARRY LICENSE VIOLATION;0;0;2;34;36
CRIM SEXUAL ASSAULT;1405;1260;385;1339;1445
CRIMINAL DAMAGE;35853;30852;6084;28669;30978
CRIMINAL TRESPASS;8215;8135;1814;6401;6306
DECEPTIVE PRACTICE;13418;13394;4597;15365;17291
GAMBLING;724;596;8;310;189
HOMICIDE;503;422;423;497;772
HUMAN TRAFFICKING;0;2;2;13;11
INTERFERENCE WITH PUBLIC OFFICER;1228;1281;258;1308;933
INTIMIDATION;156;134;25;121;128
KIDNAPPING;236;243;58;192;202
LIQUOR LAW VIOLATION;573;465;87;292;225
MOTOR VEHICLE THEFT;16492;12578;2419;10076;11362
NARCOTICS;35486;34142;7191;23833;12413
NON - CRIMINAL;0;3;0;20;5
NON-CRIMINAL;6;4;1;15;49
NON-CRIMINAL (SUBJECT SPECIFIED);2;0;1;0;1
OBSCENITY;26;24;16;46;54
OFFENSE INVOLVING CHILDREN;2182;2303;714;2200;2258
OTHER NARCOTIC VIOLATION;6;5;2;5;4
OTHER OFFENSE;17480;17965;4298;17534;17038
PROSTITUTION;2203;1652;303;1322;799
PUBLIC INDECENCY;17;10;2;14;10
PUBLIC PEACE VIOLATION;3007;3135;553;2421;1602
ROBBERY;13484;11818;2367;9639;11960
SEX OFFENSE;1050;1009;273;943;910
STALKING;207;152;35;154;167
THEFT;75453;71491;14252;57291;61166
WEAPONS VIOLATION;3904;3246;612;3362;3430
